First Name,Last Name,Current Company / Employer,Position / Title,City 
Celiena,Adcock,Facebook,Industry Manager - Head of Streaming Entertainment,"Los Angeles, CA"
Brian,Ambielli,Uptake,Senior Software Engineer,"Chicago, IL "
Eric,Bahn,Hustle Fund,Co-Founder & General Partner,"San Francisco, CA"
Lamiaa,Bounahmidi,leCupboard,Founder & CEO,"San Francisco, CA"
Shawn,Boyer,goHappy,Founder & CEO,"Richmond, VA"
Michael,Braimah,LiveRamp,Business Development Manager,"San Francisco, CA"
Keta,Burke-Williams,Carnival Cruise Lines,"Manager, Marketing & Business Development","Miami, FL"
Jeremy,Chiu,WestSummit Capital,Director,"Menlo Park, CA"
Divyanshu,Dasani,The Boeing Company,Financial Data Engineering Intern,"Chicago, IL "
Vimal,Dwivedi,Sengo,Vice President & Head of Product & Strategy,"New York, NY"
Daniel,Fell,OppLoans,Vice President Business Development,"Houston, TX"
Jill,Ford,Toyota AI Ventures,Principal,"Los Altos, CA"
Shantanu,Gangal,Prodigal,Founder,"Mountain View, CA"
Kelcey,Gosserand,The Block Crypto Inc,GM & Head of Community,"New York, NY"
Deborah,Hanus,Sparrow,Founder & CEO,"San Francisco, CA"
Whitney,Holtzman,Social Victories ,Founder & CEO,"Tampa, FL"
Matt,Karazin,Medean,CTO,"Chicago, IL "
Mahmoud,Khedr,FloraMind,Cofounder & CEO,"New York, NY"
Sarah,Koo,Workday,Senior Product Manager,"San Francisco, CA"
Jack,Korabelnikov,KnowledgeHound,VP of Engineering,"Chicago, IL "
Jibran,Kutik,Root Insurance Co.,VP of Product Design,"Columbus, OH"
Tim,Lawton,Frontier7,Co-founder & CEO,"New York, NY"
Hayley,Leibson,Lady in Tech,Founder,"San Francisco, CA"
Eric,Liu,Rent Application,Founder,"Chicago, IL "
Jeanna,Liu,Cyndx / CDX Advisors,Managing Director,"New York, NY"
Ada,Nguyen,Viasat / Cloudomics,Data Scientist  & Co-Founder,Washington DC
Tomi,Onatunde,Robin Care,VP of Operations,"San Francisco, CA"
Ryan,Park,Foxpass,Software Engineer,"San Francisco, CA"
Arjun,Reddy,SafeGraph,"VP, Partnerships","Chicago, IL "
Lex,Roman,InVision,Product Designer,"Los Angeles, CA"
Elnaz,Sarraf,ROYBI,Founder & CEO,"San Jose, CA"
Jon,Shadel,Self-employed,"Media entrepreneur, writer & editor","Portland, OR"
Casey,Shultz,"Serverless, Inc",Head of Business Operations,"San Francisco, CA"
Selena,Singleton,New York Life Ventures ,Director,"New York, NY"
Matthew,Spaulding,Plated,Group Product Manager,"New York, NY"
Simon,Spero,Slalom Consulting,Solution Architect,"Santa Monica, CA"
Shuba,Swaminathan,Shopkick ,Product Leadership & Strategy Consultant,"Palo Alto, CA"
Francois,Toubol,SIM Partners / reputation.com,"SVP, Technology","Chicago, IL "
Tatiana,Tylosky,Thinkful,Engineer,"Brooklyn, NY"
Jessica,Valenzuela,GoGoGuest,"CEO, Co-Founder","San Francisco, CA"
Melinda,Wang,MW Projects,Founder & Principal,"New York, NY"
J. Ryan,Williams,SalesCollider,Founder & CEO,"San Francisco, CA"
Kareem,Sabri,Mason,CTO & Co-Founder,"San Francisco, CA"
Lance,Coleman,Self-Employed,Product & Digital Marketing Manager,"Oakland, CA"
Rich,Smith,Netflix,Senior UI Engineer,"San Francisco, CA"
